website_session_id,user_id,billing_version,billing_pageview_id,billing_exposure_at,experiment_date,device_type,is_repeat_session,utm_source,utm_campaign,session_cross_exposure_flag,user_cross_group_flag,purchased,order_id,gross_revenue,refund_amount,net_revenue,refunded_order_flag
26289,24132,treatment,55682,2012-09-13 18:54:11,2012-09-13,desktop,0,gsearch,nonbrand,0,0,1,921.0,49.99,0.0,49.99,0
26318,24159,treatment,55743,2012-09-13 21:58:29,2012-09-13,desktop,0,bsearch,nonbrand,0,1,1,922.0,49.99,0.0,49.99,0
26334,10202,treatment,55768,2012-09-13 23:59:29,2012-09-13,desktop,1,,,0,0,0,,0.0,0.0,0.0,0
26362,24199,control,55829,2012-09-14 07:13:00,2012-09-14,desktop,0,gsearch,nonbrand,0,0,0,,0.0,0.0,0.0,0
26400,16149,treatment,55901,2012-09-14 10:25:29,2012-09-14,desktop,1,bsearch,brand,0,0,1,923.0,49.99,0.0,49.99,0
26406,24236,treatment,55920,2012-09-14 10:57:07,2012-09-14,desktop,0,gsearch,nonbrand,0,0,0,,0.0,0.0,0.0,0
26410,24240,control,55933,2012-09-14 11:09:52,2012-09-14,mobile,0,gsearch,nonbrand,0,0,0,,0.0,0.0,0.0,0
26423,24252,control,55960,2012-09-14 11:55:03,2012-09-14,desktop,0,gsearch,nonbrand,0,0,1,924.0,49.99,0.0,49.99,0
26430,24258,treatment,55976,2012-09-14 12:31:33,2012-09-14,desktop,0,gsearch,nonbrand,0,0,0,,0.0,0.0,0.0,0
26442,11917,treatment,55995,2012-09-14 13:24:28,2012-09-14,desktop,1,,,0,0,1,925.0,49.99,0.0,49.99,0
26446,19574,control,56011,2012-09-14 13:51:21,2012-09-14,desktop,1,,,0,0,0,,0.0,0.0,0.0,0
26448,24273,treatment,56013,2012-09-14 13:54:05,2012-09-14,desktop,0,gsearch,nonbrand,0,0,1,926.0,49.99,0.0,49.99,0
26470,24295,control,56056,2012-09-14 15:18:00,2012-09-14,desktop,0,bsearch,nonbrand,0,0,1,927.0,49.99,0.0,49.99,0
26480,24304,control,56080,2012-09-14 15:57:39,2012-09-14,desktop,0,bsearch,nonbrand,0,0,0,,0.0,0.0,0.0,0
26482,24305,treatment,56087,2012-09-14 16:02:59,2012-09-14,desktop,0,gsearch,nonbrand,0,0,1,928.0,49.99,0.0,49.99,0
26488,24311,control,56096,2012-09-14 16:13:42,2012-09-14,desktop,0,gsearch,nonbrand,0,0,0,,0.0,0.0,0.0,0
26501,24324,treatment,56122,2012-09-14 16:51:57,2012-09-14,desktop,0,gsearch,nonbrand,0,0,0,,0.0,0.0,0.0,0
26502,24325,control,56128,2012-09-14 16:54:46,2012-09-14,desktop,0,,,0,0,0,,0.0,0.0,0.0,0
26529,24350,control,56174,2012-09-14 19:18:15,2012-09-14,desktop,0,gsearch,brand,0,0,1,929.0,49.99,0.0,49.99,0
26540,24361,treatment,56194,2012-09-14 20:39:04,2012-09-14,desktop,0,gsearch,nonbrand,0,0,1,930.0,49.99,0.0,49.99,0
26550,24371,control,56216,2012-09-14 22:05:39,2012-09-14,desktop,0,gsearch,nonbrand,0,0,1,931.0,49.99,0.0,49.99,0
26556,9992,control,56229,2012-09-14 22:48:57,2012-09-14,desktop,1,,,0,0,0,,0.0,0.0,0.0,0
26575,24393,treatment,56265,2012-09-15 03:53:31,2012-09-15,mobile,0,gsearch,nonbrand,0,0,1,932.0,49.99,0.0,49.99,0
26588,24406,control,56304,2012-09-15 08:09:26,2012-09-15,desktop,0,gsearch,nonbrand,0,0,1,933.0,49.99,0.0,49.99,0
26604,24421,treatment,56331,2012-09-15 11:53:12,2012-09-15,desktop,0,gsearch,nonbrand,0,0,0,,0.0,0.0,0.0,0
26618,24435,treatment,56363,2012-09-15 13:25:43,2012-09-15,desktop,0,gsearch,nonbrand,0,0,1,934.0,49.99,49.99,0.0,1
26652,24464,treatment,56426,2012-09-15 18:57:13,2012-09-15,desktop,0,bsearch,nonbrand,0,0,0,,0.0,0.0,0.0,0
26657,24469,treatment,56437,2012-09-15 19:25:23,2012-09-15,mobile,0,gsearch,nonbrand,0,0,0,,0.0,0.0,0.0,0
26662,24474,control,56453,2012-09-15 20:02:23,2012-09-15,desktop,0,gsearch,nonbrand,0,0,0,,0.0,0.0,0.0,0
26666,13154,control,56463,2012-09-15 20:20:13,2012-09-15,desktop,1,,,0,0,1,935.0,49.99,0.0,49.99,0
26669,24480,treatment,56474,2012-09-15 20:53:06,2012-09-15,desktop,0,gsearch,nonbrand,0,0,1,936.0,49.99,0.0,49.99,0
26671,24482,treatment,56482,2012-09-15 21:39:06,2012-09-15,desktop,0,gsearch,nonbrand,0,0,1,937.0,49.99,0.0,49.99,0
26676,24487,treatment,56495,2012-09-15 23:45:37,2012-09-15,desktop,0,gsearch,nonbrand,0,0,1,938.0,49.99,0.0,49.99,0
26680,24491,treatment,56509,2012-09-16 00:31:38,2012-09-16,desktop,0,bsearch,nonbrand,0,0,0,,0.0,0.0,0.0,0
26700,24509,treatment,56549,2012-09-16 09:22:32,2012-09-16,desktop,0,bsearch,nonbrand,0,0,0,,0.0,0.0,0.0,0
26714,24523,treatment,56581,2012-09-16 11:24:31,2012-09-16,desktop,0,,,0,0,1,939.0,49.99,49.99,0.0,1
26718,18997,control,56593,2012-09-16 12:06:30,2012-09-16,desktop,1,gsearch,brand,0,0,0,,0.0,0.0,0.0,0
26719,24527,control,56599,2012-09-16 12:25:22,2012-09-16,desktop,0,bsearch,nonbrand,0,0,0,,0.0,0.0,0.0,0
26722,24530,control,56614,2012-09-16 12:52:48,2012-09-16,desktop,0,gsearch,nonbrand,0,0,1,940.0,49.99,0.0,49.99,0
26739,24545,control,56649,2012-09-16 15:59:14,2012-09-16,desktop,0,bsearch,nonbrand,0,0,0,,0.0,0.0,0.0,0
26748,24554,control,56676,2012-09-16 17:01:49,2012-09-16,desktop,0,gsearch,nonbrand,0,0,0,,0.0,0.0,0.0,0
26757,24561,control,56695,2012-09-16 18:05:44,2012-09-16,desktop,0,gsearch,nonbrand,0,0,0,,0.0,0.0,0.0,0
26764,24567,treatment,56713,2012-09-16 19:39:51,2012-09-16,mobile,0,gsearch,nonbrand,0,0,1,941.0,49.99,49.99,0.0,1
26777,24579,treatment,56741,2012-09-16 20:49:35,2012-09-16,desktop,0,gsearch,nonbrand,0,0,1,942.0,49.99,0.0,49.99,0
26791,24591,treatment,56782,2012-09-16 22:24:31,2012-09-16,desktop,0,bsearch,nonbrand,0,0,0,,0.0,0.0,0.0,0
26808,24608,treatment,56813,2012-09-17 00:10:48,2012-09-17,desktop,0,gsearch,nonbrand,0,0,0,,0.0,0.0,0.0,0
26821,24621,treatment,56845,2012-09-17 01:58:31,2012-09-17,desktop,0,bsearch,brand,0,0,1,943.0,49.99,0.0,49.99,0
26832,24630,treatment,56875,2012-09-17 03:31:23,2012-09-17,desktop,0,gsearch,nonbrand,0,0,0,,0.0,0.0,0.0,0
26878,24672,treatment,56966,2012-09-17 09:36:07,2012-09-17,desktop,0,bsearch,nonbrand,0,0,0,,0.0,0.0,0.0,0
26886,24679,control,56980,2012-09-17 09:57:42,2012-09-17,desktop,0,bsearch,nonbrand,0,0,1,944.0,49.99,0.0,49.99,0
26891,24683,treatment,56993,2012-09-17 10:17:37,2012-09-17,desktop,0,gsearch,nonbrand,0,0,1,945.0,49.99,0.0,49.99,0
26902,24692,control,57014,2012-09-17 10:59:41,2012-09-17,desktop,0,,,0,0,0,,0.0,0.0,0.0,0
26931,24718,control,57075,2012-09-17 12:45:25,2012-09-17,desktop,0,bsearch,nonbrand,0,0,1,946.0,49.99,0.0,49.99,0
26941,24728,treatment,57103,2012-09-17 13:13:08,2012-09-17,desktop,0,gsearch,nonbrand,0,0,1,947.0,49.99,0.0,49.99,0
26984,24765,control,57189,2012-09-17 15:05:58,2012-09-17,desktop,0,bsearch,nonbrand,0,0,1,948.0,49.99,0.0,49.99,0
26989,24769,treatment,57206,2012-09-17 15:22:05,2012-09-17,desktop,0,gsearch,nonbrand,0,0,1,949.0,49.99,0.0,49.99,0
26990,24770,treatment,57212,2012-09-17 15:28:07,2012-09-17,desktop,0,gsearch,nonbrand,0,0,0,,0.0,0.0,0.0,0
27007,24786,treatment,57250,2012-09-17 16:17:03,2012-09-17,desktop,0,gsearch,nonbrand,0,0,0,,0.0,0.0,0.0,0
27008,17996,treatment,57254,2012-09-17 16:21:01,2012-09-17,desktop,1,,,0,0,0,,0.0,0.0,0.0,0
27030,24805,control,57295,2012-09-17 17:18:25,2012-09-17,desktop,0,gsearch,nonbrand,0,0,0,,0.0,0.0,0.0,0
27035,24810,control,57303,2012-09-17 17:30:23,2012-09-17,desktop,0,gsearch,nonbrand,0,0,0,,0.0,0.0,0.0,0
27040,20960,treatment,57321,2012-09-17 17:44:50,2012-09-17,mobile,1,gsearch,brand,0,0,1,950.0,49.99,49.99,0.0,1
27041,24814,control,57330,2012-09-17 17:49:02,2012-09-17,desktop,0,bsearch,nonbrand,0,0,0,,0.0,0.0,0.0,0
27055,24828,treatment,57351,2012-09-17 18:21:06,2012-09-17,desktop,0,gsearch,nonbrand,0,0,0,,0.0,0.0,0.0,0
27086,24858,control,57417,2012-09-17 20:11:17,2012-09-17,desktop,0,bsearch,nonbrand,0,0,0,,0.0,0.0,0.0,0
27117,24888,control,57483,2012-09-18 00:04:52,2012-09-18,desktop,0,gsearch,nonbrand,0,0,1,951.0,49.99,0.0,49.99,0
27135,24906,control,57522,2012-09-18 02:17:00,2012-09-18,desktop,0,bsearch,nonbrand,0,0,0,,0.0,0.0,0.0,0
27155,24924,control,57555,2012-09-18 06:06:52,2012-09-18,desktop,0,bsearch,nonbrand,0,0,1,952.0,49.99,0.0,49.99,0
27160,24185,control,57571,2012-09-18 07:28:02,2012-09-18,desktop,1,,,0,0,0,,0.0,0.0,0.0,0
27163,24931,control,57583,2012-09-18 08:22:25,2012-09-18,desktop,0,gsearch,brand,0,0,0,,0.0,0.0,0.0,0
27164,24932,treatment,57590,2012-09-18 08:30:57,2012-09-18,desktop,0,gsearch,nonbrand,0,0,0,,0.0,0.0,0.0,0
27165,24933,treatment,57593,2012-09-18 08:34:00,2012-09-18,mobile,0,gsearch,nonbrand,0,0,0,,0.0,0.0,0.0,0
27166,24934,control,57600,2012-09-18 09:01:25,2012-09-18,mobile,0,gsearch,nonbrand,0,0,1,953.0,49.99,49.99,0.0,1
27189,24956,control,57646,2012-09-18 10:56:03,2012-09-18,desktop,0,,,0,0,1,954.0,49.99,0.0,49.99,0
27204,24970,control,57681,2012-09-18 11:49:25,2012-09-18,desktop,0,gsearch,nonbrand,0,0,0,,0.0,0.0,0.0,0
27211,24977,treatment,57698,2012-09-18 12:02:08,2012-09-18,desktop,0,gsearch,nonbrand,0,0,0,,0.0,0.0,0.0,0
27218,24984,treatment,57710,2012-09-18 12:19:43,2012-09-18,mobile,0,gsearch,nonbrand,0,0,0,,0.0,0.0,0.0,0
27226,22370,treatment,57729,2012-09-18 12:43:22,2012-09-18,mobile,1,,,0,0,1,955.0,49.99,0.0,49.99,0
27253,25015,treatment,57784,2012-09-18 14:08:31,2012-09-18,mobile,0,gsearch,nonbrand,0,0,1,956.0,49.99,0.0,49.99,0
27272,16112,control,57816,2012-09-18 14:43:10,2012-09-18,desktop,1,gsearch,brand,0,0,0,,0.0,0.0,0.0,0
27277,25037,control,57829,2012-09-18 14:54:36,2012-09-18,desktop,0,gsearch,nonbrand,0,0,0,,0.0,0.0,0.0,0
27286,25044,treatment,57849,2012-09-18 15:16:50,2012-09-18,desktop,0,gsearch,nonbrand,0,0,1,957.0,49.99,0.0,49.99,0
27296,25052,control,57875,2012-09-18 15:51:47,2012-09-18,desktop,0,gsearch,nonbrand,0,0,0,,0.0,0.0,0.0,0
27325,25075,treatment,57933,2012-09-18 17:12:47,2012-09-18,desktop,0,gsearch,nonbrand,0,0,0,,0.0,0.0,0.0,0
27334,25084,control,57959,2012-09-18 17:51:35,2012-09-18,desktop,0,gsearch,nonbrand,0,0,0,,0.0,0.0,0.0,0
27361,25108,control,58007,2012-09-18 19:17:09,2012-09-18,desktop,0,gsearch,nonbrand,0,0,1,958.0,49.99,0.0,49.99,0
27374,25119,treatment,58035,2012-09-18 20:20:24,2012-09-18,desktop,0,gsearch,nonbrand,0,0,1,959.0,49.99,0.0,49.99,0
27384,25129,control,58059,2012-09-18 21:11:40,2012-09-18,desktop,0,gsearch,nonbrand,0,0,1,960.0,49.99,0.0,49.99,0
27391,25135,treatment,58078,2012-09-18 21:29:13,2012-09-18,desktop,0,gsearch,nonbrand,0,0,1,961.0,49.99,0.0,49.99,0
27409,25153,treatment,58109,2012-09-18 22:36:15,2012-09-18,desktop,0,bsearch,nonbrand,0,0,0,,0.0,0.0,0.0,0
27413,25157,control,58120,2012-09-18 23:07:22,2012-09-18,desktop,0,gsearch,nonbrand,0,0,0,,0.0,0.0,0.0,0
27416,25160,treatment,58127,2012-09-18 23:31:17,2012-09-18,desktop,0,gsearch,nonbrand,0,0,0,,0.0,0.0,0.0,0
27420,25163,control,58142,2012-09-19 00:08:46,2012-09-19,desktop,0,gsearch,nonbrand,0,0,1,962.0,49.99,0.0,49.99,0
27421,25164,control,58147,2012-09-19 00:18:15,2012-09-19,desktop,0,bsearch,nonbrand,0,0,1,963.0,49.99,0.0,49.99,0
27423,25166,control,58156,2012-09-19 00:40:15,2012-09-19,desktop,0,gsearch,nonbrand,0,0,1,964.0,49.99,0.0,49.99,0
27472,25214,control,58242,2012-09-19 08:33:38,2012-09-19,desktop,0,gsearch,nonbrand,0,0,1,965.0,49.99,0.0,49.99,0
27477,25219,control,58252,2012-09-19 08:52:48,2012-09-19,desktop,0,gsearch,nonbrand,0,0,1,966.0,49.99,0.0,49.99,0
27485,25227,treatment,58271,2012-09-19 09:22:43,2012-09-19,desktop,0,bsearch,nonbrand,0,0,1,967.0,49.99,0.0,49.99,0
27493,25235,treatment,58296,2012-09-19 10:06:05,2012-09-19,desktop,0,bsearch,nonbrand,0,0,1,968.0,49.99,0.0,49.99,0
27496,25237,treatment,58304,2012-09-19 10:13:25,2012-09-19,desktop,0,bsearch,nonbrand,0,0,1,969.0,49.99,49.99,0.0,1
27503,25244,control,58314,2012-09-19 10:20:40,2012-09-19,desktop,0,gsearch,nonbrand,0,0,1,970.0,49.99,0.0,49.99,0
27516,25255,control,58354,2012-09-19 11:03:27,2012-09-19,desktop,0,bsearch,nonbrand,0,0,1,971.0,49.99,0.0,49.99,0
27521,25260,treatment,58374,2012-09-19 11:14:21,2012-09-19,desktop,0,gsearch,nonbrand,0,0,1,972.0,49.99,0.0,49.99,0
27527,25265,control,58381,2012-09-19 11:22:44,2012-09-19,desktop,0,bsearch,brand,0,0,1,973.0,49.99,0.0,49.99,0
27544,16713,control,58415,2012-09-19 12:04:40,2012-09-19,desktop,1,,,0,0,0,,0.0,0.0,0.0,0
27546,25280,control,58429,2012-09-19 12:12:30,2012-09-19,desktop,0,bsearch,nonbrand,0,0,1,974.0,49.99,0.0,49.99,0
27556,25290,control,58452,2012-09-19 12:33:41,2012-09-19,desktop,0,gsearch,nonbrand,0,0,0,,0.0,0.0,0.0,0
27565,25299,control,58475,2012-09-19 13:01:23,2012-09-19,desktop,0,gsearch,nonbrand,0,0,0,,0.0,0.0,0.0,0
27571,25305,treatment,58483,2012-09-19 13:12:22,2012-09-19,desktop,0,gsearch,nonbrand,0,0,0,,0.0,0.0,0.0,0
27575,25309,control,58497,2012-09-19 13:36:26,2012-09-19,desktop,0,gsearch,nonbrand,0,0,1,975.0,49.99,0.0,49.99,0
27604,25334,treatment,58552,2012-09-19 15:08:01,2012-09-19,desktop,0,bsearch,nonbrand,0,0,1,976.0,49.99,0.0,49.99,0
27615,25344,control,58576,2012-09-19 15:32:12,2012-09-19,mobile,0,gsearch,nonbrand,0,0,0,,0.0,0.0,0.0,0
27639,25367,control,58629,2012-09-19 16:44:39,2012-09-19,desktop,0,bsearch,nonbrand,0,0,0,,0.0,0.0,0.0,0
27640,25368,treatment,58632,2012-09-19 16:47:22,2012-09-19,desktop,0,gsearch,nonbrand,0,0,0,,0.0,0.0,0.0,0
27644,25372,control,58640,2012-09-19 16:55:37,2012-09-19,desktop,0,gsearch,nonbrand,0,0,1,977.0,49.99,0.0,49.99,0
27654,20223,treatment,58667,2012-09-19 17:29:31,2012-09-19,mobile,1,gsearch,brand,0,0,1,978.0,49.99,0.0,49.99,0
