website_session_id,user_id,billing_version,billing_pageview_id,billing_exposure_at,device_type,is_repeat_session,utm_source,utm_campaign,purchased,order_count,revenue
25826,23710,control,54689,"2012-09-12 03:06:29",desktop,0,gsearch,nonbrand,1,1,49.99
25836,23720,control,54713,"2012-09-12 06:17:19",desktop,0,gsearch,nonbrand,0,0,0.00
25848,23731,control,54737,"2012-09-12 07:45:37",desktop,0,gsearch,nonbrand,1,1,49.99
25860,23742,treatment,54767,"2012-09-12 09:02:09",desktop,0,gsearch,nonbrand,1,1,49.99
25874,23754,control,54801,"2012-09-12 10:04:26",desktop,0,bsearch,nonbrand,1,1,49.99
25875,23755,treatment,54803,"2012-09-12 10:06:12",desktop,0,gsearch,nonbrand,0,0,0.00
25880,17179,control,54822,"2012-09-12 10:39:53",mobile,1,NULL,NULL,1,1,49.99
25882,23760,control,54825,"2012-09-12 10:41:43",desktop,0,gsearch,nonbrand,0,0,0.00
25907,23782,treatment,54873,"2012-09-12 12:21:31",desktop,0,gsearch,nonbrand,1,1,49.99
25918,23793,control,54894,"2012-09-12 12:58:48",desktop,0,gsearch,nonbrand,1,1,49.99
25936,23810,control,54932,"2012-09-12 13:58:31",desktop,0,gsearch,nonbrand,0,0,0.00
25979,23851,treatment,54999,"2012-09-12 16:53:46",desktop,0,bsearch,nonbrand,1,1,49.99
25997,23868,treatment,55041,"2012-09-12 17:58:43",desktop,0,gsearch,nonbrand,0,0,0.00
26017,23887,control,55083,"2012-09-12 19:23:02",desktop,0,gsearch,nonbrand,0,0,0.00
26021,23891,treatment,55095,"2012-09-12 19:37:38",desktop,0,gsearch,nonbrand,1,1,49.99
26022,23892,control,55099,"2012-09-12 19:42:56",desktop,0,gsearch,nonbrand,0,0,0.00
26024,17194,control,55107,"2012-09-12 20:03:31",desktop,1,NULL,NULL,1,1,49.99
26036,23905,control,55129,"2012-09-12 21:05:28",desktop,0,bsearch,nonbrand,0,0,0.00
26039,23908,control,55141,"2012-09-12 21:53:30",desktop,0,gsearch,nonbrand,0,0,0.00
26048,23915,control,55159,"2012-09-12 22:58:29",mobile,0,gsearch,nonbrand,1,1,49.99
26092,17221,control,55241,"2012-09-13 05:41:55",desktop,1,NULL,NULL,1,1,49.99
26093,16542,control,55248,"2012-09-13 06:23:20",desktop,1,gsearch,brand,1,1,49.99
26105,23966,treatment,55278,"2012-09-13 07:32:09",desktop,0,gsearch,nonbrand,1,1,49.99
26114,23972,treatment,55304,"2012-09-13 08:39:16",mobile,0,gsearch,nonbrand,1,1,49.99
26119,23977,treatment,55312,"2012-09-13 08:44:44",desktop,0,gsearch,nonbrand,0,0,0.00
26120,23978,treatment,55317,"2012-09-13 08:50:44",desktop,0,gsearch,nonbrand,1,1,49.99
26127,23984,treatment,55336,"2012-09-13 09:18:28",desktop,0,gsearch,nonbrand,1,1,49.99
26136,23993,control,55353,"2012-09-13 10:00:55",desktop,0,bsearch,nonbrand,1,1,49.99
26175,24029,control,55423,"2012-09-13 12:04:34",desktop,0,gsearch,nonbrand,1,1,49.99
26196,24049,control,55467,"2012-09-13 12:56:06",desktop,0,gsearch,nonbrand,1,1,49.99
26213,24063,treatment,55499,"2012-09-13 14:13:50",mobile,0,gsearch,nonbrand,0,0,0.00
26222,24071,treatment,55521,"2012-09-13 14:41:00",desktop,0,gsearch,nonbrand,1,1,49.99
26230,24078,control,55535,"2012-09-13 15:14:03",desktop,0,gsearch,nonbrand,1,1,49.99
26234,24081,treatment,55555,"2012-09-13 15:31:33",desktop,0,bsearch,nonbrand,1,1,49.99
26243,21657,treatment,55571,"2012-09-13 15:55:21",desktop,1,NULL,NULL,1,1,49.99
26242,24088,treatment,55573,"2012-09-13 15:55:41",desktop,0,bsearch,nonbrand,1,1,49.99
26272,24116,treatment,55630,"2012-09-13 17:41:28",desktop,0,bsearch,nonbrand,1,1,49.99
26277,24121,treatment,55644,"2012-09-13 18:11:58",desktop,0,gsearch,nonbrand,1,1,49.99
26285,24128,treatment,55672,"2012-09-13 18:49:15",desktop,0,gsearch,nonbrand,1,1,49.99
26284,24127,treatment,55679,"2012-09-13 18:51:49",desktop,0,gsearch,nonbrand,0,0,0.00
26289,24132,treatment,55682,"2012-09-13 18:54:11",desktop,0,gsearch,nonbrand,1,1,49.99
26318,24159,treatment,55743,"2012-09-13 21:58:29",desktop,0,bsearch,nonbrand,1,1,49.99
26334,10202,treatment,55768,"2012-09-13 23:59:29",desktop,1,NULL,NULL,0,0,0.00
26362,24199,control,55829,"2012-09-14 07:13:00",desktop,0,gsearch,nonbrand,0,0,0.00
26400,16149,treatment,55901,"2012-09-14 10:25:29",desktop,1,bsearch,brand,1,1,49.99
26406,24236,treatment,55920,"2012-09-14 10:57:07",desktop,0,gsearch,nonbrand,0,0,0.00
26410,24240,control,55933,"2012-09-14 11:09:52",mobile,0,gsearch,nonbrand,0,0,0.00
26423,24252,control,55960,"2012-09-14 11:55:03",desktop,0,gsearch,nonbrand,1,1,49.99
26430,24258,treatment,55976,"2012-09-14 12:31:33",desktop,0,gsearch,nonbrand,0,0,0.00
26442,11917,treatment,55995,"2012-09-14 13:24:28",desktop,1,NULL,NULL,1,1,49.99
26446,19574,control,56011,"2012-09-14 13:51:21",desktop,1,NULL,NULL,0,0,0.00
26448,24273,treatment,56013,"2012-09-14 13:54:05",desktop,0,gsearch,nonbrand,1,1,49.99
26470,24295,control,56056,"2012-09-14 15:18:00",desktop,0,bsearch,nonbrand,1,1,49.99
26480,24304,control,56080,"2012-09-14 15:57:39",desktop,0,bsearch,nonbrand,0,0,0.00
26482,24305,treatment,56087,"2012-09-14 16:02:59",desktop,0,gsearch,nonbrand,1,1,49.99
26488,24311,control,56096,"2012-09-14 16:13:42",desktop,0,gsearch,nonbrand,0,0,0.00
26501,24324,treatment,56122,"2012-09-14 16:51:57",desktop,0,gsearch,nonbrand,0,0,0.00
26502,24325,control,56128,"2012-09-14 16:54:46",desktop,0,NULL,NULL,0,0,0.00
26529,24350,control,56174,"2012-09-14 19:18:15",desktop,0,gsearch,brand,1,1,49.99
26540,24361,treatment,56194,"2012-09-14 20:39:04",desktop,0,gsearch,nonbrand,1,1,49.99
26550,24371,control,56216,"2012-09-14 22:05:39",desktop,0,gsearch,nonbrand,1,1,49.99
26556,9992,control,56229,"2012-09-14 22:48:57",desktop,1,NULL,NULL,0,0,0.00
26575,24393,treatment,56265,"2012-09-15 03:53:31",mobile,0,gsearch,nonbrand,1,1,49.99
26588,24406,control,56304,"2012-09-15 08:09:26",desktop,0,gsearch,nonbrand,1,1,49.99
26604,24421,treatment,56331,"2012-09-15 11:53:12",desktop,0,gsearch,nonbrand,0,0,0.00
26618,24435,treatment,56363,"2012-09-15 13:25:43",desktop,0,gsearch,nonbrand,1,1,49.99
26652,24464,treatment,56426,"2012-09-15 18:57:13",desktop,0,bsearch,nonbrand,0,0,0.00
26657,24469,treatment,56437,"2012-09-15 19:25:23",mobile,0,gsearch,nonbrand,0,0,0.00
26662,24474,control,56453,"2012-09-15 20:02:23",desktop,0,gsearch,nonbrand,0,0,0.00
26666,13154,control,56463,"2012-09-15 20:20:13",desktop,1,NULL,NULL,1,1,49.99
26669,24480,treatment,56474,"2012-09-15 20:53:06",desktop,0,gsearch,nonbrand,1,1,49.99
26671,24482,treatment,56482,"2012-09-15 21:39:06",desktop,0,gsearch,nonbrand,1,1,49.99
26676,24487,treatment,56495,"2012-09-15 23:45:37",desktop,0,gsearch,nonbrand,1,1,49.99
26680,24491,treatment,56509,"2012-09-16 00:31:38",desktop,0,bsearch,nonbrand,0,0,0.00
26700,24509,treatment,56549,"2012-09-16 09:22:32",desktop,0,bsearch,nonbrand,0,0,0.00
26714,24523,treatment,56581,"2012-09-16 11:24:31",desktop,0,NULL,NULL,1,1,49.99
26718,18997,control,56593,"2012-09-16 12:06:30",desktop,1,gsearch,brand,0,0,0.00
26719,24527,control,56599,"2012-09-16 12:25:22",desktop,0,bsearch,nonbrand,0,0,0.00
26722,24530,control,56614,"2012-09-16 12:52:48",desktop,0,gsearch,nonbrand,1,1,49.99
26739,24545,control,56649,"2012-09-16 15:59:14",desktop,0,bsearch,nonbrand,0,0,0.00
26748,24554,control,56676,"2012-09-16 17:01:49",desktop,0,gsearch,nonbrand,0,0,0.00
26757,24561,control,56695,"2012-09-16 18:05:44",desktop,0,gsearch,nonbrand,0,0,0.00
26764,24567,treatment,56713,"2012-09-16 19:39:51",mobile,0,gsearch,nonbrand,1,1,49.99
26777,24579,treatment,56741,"2012-09-16 20:49:35",desktop,0,gsearch,nonbrand,1,1,49.99
26791,24591,treatment,56782,"2012-09-16 22:24:31",desktop,0,bsearch,nonbrand,0,0,0.00
26808,24608,treatment,56813,"2012-09-17 00:10:48",desktop,0,gsearch,nonbrand,0,0,0.00
26821,24621,treatment,56845,"2012-09-17 01:58:31",desktop,0,bsearch,brand,1,1,49.99
26832,24630,treatment,56875,"2012-09-17 03:31:23",desktop,0,gsearch,nonbrand,0,0,0.00
26878,24672,treatment,56966,"2012-09-17 09:36:07",desktop,0,bsearch,nonbrand,0,0,0.00
26886,24679,control,56980,"2012-09-17 09:57:42",desktop,0,bsearch,nonbrand,1,1,49.99
26891,24683,treatment,56993,"2012-09-17 10:17:37",desktop,0,gsearch,nonbrand,1,1,49.99
26902,24692,control,57014,"2012-09-17 10:59:41",desktop,0,NULL,NULL,0,0,0.00
26931,24718,control,57075,"2012-09-17 12:45:25",desktop,0,bsearch,nonbrand,1,1,49.99
26941,24728,treatment,57103,"2012-09-17 13:13:08",desktop,0,gsearch,nonbrand,1,1,49.99
26984,24765,control,57189,"2012-09-17 15:05:58",desktop,0,bsearch,nonbrand,1,1,49.99
26989,24769,treatment,57206,"2012-09-17 15:22:05",desktop,0,gsearch,nonbrand,1,1,49.99
26990,24770,treatment,57212,"2012-09-17 15:28:07",desktop,0,gsearch,nonbrand,0,0,0.00
27007,24786,treatment,57250,"2012-09-17 16:17:03",desktop,0,gsearch,nonbrand,0,0,0.00
27008,17996,treatment,57254,"2012-09-17 16:21:01",desktop,1,NULL,NULL,0,0,0.00
27030,24805,control,57295,"2012-09-17 17:18:25",desktop,0,gsearch,nonbrand,0,0,0.00
27035,24810,control,57303,"2012-09-17 17:30:23",desktop,0,gsearch,nonbrand,0,0,0.00
27040,20960,treatment,57321,"2012-09-17 17:44:50",mobile,1,gsearch,brand,1,1,49.99
27041,24814,control,57330,"2012-09-17 17:49:02",desktop,0,bsearch,nonbrand,0,0,0.00
27055,24828,treatment,57351,"2012-09-17 18:21:06",desktop,0,gsearch,nonbrand,0,0,0.00
27086,24858,control,57417,"2012-09-17 20:11:17",desktop,0,bsearch,nonbrand,0,0,0.00
27117,24888,control,57483,"2012-09-18 00:04:52",desktop,0,gsearch,nonbrand,1,1,49.99
27135,24906,control,57522,"2012-09-18 02:17:00",desktop,0,bsearch,nonbrand,0,0,0.00
27155,24924,control,57555,"2012-09-18 06:06:52",desktop,0,bsearch,nonbrand,1,1,49.99
27160,24185,control,57571,"2012-09-18 07:28:02",desktop,1,NULL,NULL,0,0,0.00
27163,24931,control,57583,"2012-09-18 08:22:25",desktop,0,gsearch,brand,0,0,0.00
27164,24932,treatment,57590,"2012-09-18 08:30:57",desktop,0,gsearch,nonbrand,0,0,0.00
27165,24933,treatment,57593,"2012-09-18 08:34:00",mobile,0,gsearch,nonbrand,0,0,0.00
27166,24934,control,57600,"2012-09-18 09:01:25",mobile,0,gsearch,nonbrand,1,1,49.99
27189,24956,control,57646,"2012-09-18 10:56:03",desktop,0,NULL,NULL,1,1,49.99
27204,24970,control,57681,"2012-09-18 11:49:25",desktop,0,gsearch,nonbrand,0,0,0.00
27211,24977,treatment,57698,"2012-09-18 12:02:08",desktop,0,gsearch,nonbrand,0,0,0.00
27218,24984,treatment,57710,"2012-09-18 12:19:43",mobile,0,gsearch,nonbrand,0,0,0.00
27226,22370,treatment,57729,"2012-09-18 12:43:22",mobile,1,NULL,NULL,1,1,49.99
27253,25015,treatment,57784,"2012-09-18 14:08:31",mobile,0,gsearch,nonbrand,1,1,49.99
27272,16112,control,57816,"2012-09-18 14:43:10",desktop,1,gsearch,brand,0,0,0.00
27277,25037,control,57829,"2012-09-18 14:54:36",desktop,0,gsearch,nonbrand,0,0,0.00
27286,25044,treatment,57849,"2012-09-18 15:16:50",desktop,0,gsearch,nonbrand,1,1,49.99
27296,25052,control,57875,"2012-09-18 15:51:47",desktop,0,gsearch,nonbrand,0,0,0.00
27325,25075,treatment,57933,"2012-09-18 17:12:47",desktop,0,gsearch,nonbrand,0,0,0.00
27334,25084,control,57959,"2012-09-18 17:51:35",desktop,0,gsearch,nonbrand,0,0,0.00
27361,25108,control,58007,"2012-09-18 19:17:09",desktop,0,gsearch,nonbrand,1,1,49.99
27374,25119,treatment,58035,"2012-09-18 20:20:24",desktop,0,gsearch,nonbrand,1,1,49.99
27384,25129,control,58059,"2012-09-18 21:11:40",desktop,0,gsearch,nonbrand,1,1,49.99
27391,25135,treatment,58078,"2012-09-18 21:29:13",desktop,0,gsearch,nonbrand,1,1,49.99
27409,25153,treatment,58109,"2012-09-18 22:36:15",desktop,0,bsearch,nonbrand,0,0,0.00
27413,25157,control,58120,"2012-09-18 23:07:22",desktop,0,gsearch,nonbrand,0,0,0.00
27416,25160,treatment,58127,"2012-09-18 23:31:17",desktop,0,gsearch,nonbrand,0,0,0.00
27420,25163,control,58142,"2012-09-19 00:08:46",desktop,0,gsearch,nonbrand,1,1,49.99
27421,25164,control,58147,"2012-09-19 00:18:15",desktop,0,bsearch,nonbrand,1,1,49.99
27423,25166,control,58156,"2012-09-19 00:40:15",desktop,0,gsearch,nonbrand,1,1,49.99
27472,25214,control,58242,"2012-09-19 08:33:38",desktop,0,gsearch,nonbrand,1,1,49.99
27477,25219,control,58252,"2012-09-19 08:52:48",desktop,0,gsearch,nonbrand,1,1,49.99
27485,25227,treatment,58271,"2012-09-19 09:22:43",desktop,0,bsearch,nonbrand,1,1,49.99
27493,25235,treatment,58296,"2012-09-19 10:06:05",desktop,0,bsearch,nonbrand,1,1,49.99
27496,25237,treatment,58304,"2012-09-19 10:13:25",desktop,0,bsearch,nonbrand,1,1,49.99
27503,25244,control,58314,"2012-09-19 10:20:40",desktop,0,gsearch,nonbrand,1,1,49.99
27516,25255,control,58354,"2012-09-19 11:03:27",desktop,0,bsearch,nonbrand,1,1,49.99
27521,25260,treatment,58374,"2012-09-19 11:14:21",desktop,0,gsearch,nonbrand,1,1,49.99
27527,25265,control,58381,"2012-09-19 11:22:44",desktop,0,bsearch,brand,1,1,49.99
27544,16713,control,58415,"2012-09-19 12:04:40",desktop,1,NULL,NULL,0,0,0.00
27546,25280,control,58429,"2012-09-19 12:12:30",desktop,0,bsearch,nonbrand,1,1,49.99
27556,25290,control,58452,"2012-09-19 12:33:41",desktop,0,gsearch,nonbrand,0,0,0.00
27565,25299,control,58475,"2012-09-19 13:01:23",desktop,0,gsearch,nonbrand,0,0,0.00
27571,25305,treatment,58483,"2012-09-19 13:12:22",desktop,0,gsearch,nonbrand,0,0,0.00
27575,25309,control,58497,"2012-09-19 13:36:26",desktop,0,gsearch,nonbrand,1,1,49.99
27604,25334,treatment,58552,"2012-09-19 15:08:01",desktop,0,bsearch,nonbrand,1,1,49.99
27615,25344,control,58576,"2012-09-19 15:32:12",mobile,0,gsearch,nonbrand,0,0,0.00
27639,25367,control,58629,"2012-09-19 16:44:39",desktop,0,bsearch,nonbrand,0,0,0.00
27640,25368,treatment,58632,"2012-09-19 16:47:22",desktop,0,gsearch,nonbrand,0,0,0.00
27644,25372,control,58640,"2012-09-19 16:55:37",desktop,0,gsearch,nonbrand,1,1,49.99
27654,20223,treatment,58667,"2012-09-19 17:29:31",mobile,1,gsearch,brand,1,1,49.99
27657,25381,treatment,58676,"2012-09-19 17:37:53",desktop,0,gsearch,nonbrand,0,0,0.00
27655,23122,control,58677,"2012-09-19 17:39:19",desktop,1,gsearch,brand,1,1,49.99
27677,25397,treatment,58709,"2012-09-19 18:37:17",mobile,0,bsearch,nonbrand,0,0,0.00
27678,25398,control,58717,"2012-09-19 18:48:17",desktop,0,gsearch,nonbrand,0,0,0.00
27688,25408,control,58743,"2012-09-19 19:45:06",desktop,0,gsearch,nonbrand,0,0,0.00
27702,25421,treatment,58768,"2012-09-19 21:16:52",mobile,0,gsearch,nonbrand,0,0,0.00
27717,25434,treatment,58799,"2012-09-19 22:34:51",desktop,0,gsearch,nonbrand,1,1,49.99
27755,25469,control,58882,"2012-09-20 05:06:47",desktop,0,gsearch,nonbrand,1,1,49.99
27763,25476,treatment,58899,"2012-09-20 06:15:24",desktop,0,bsearch,nonbrand,1,1,49.99
27765,25478,treatment,58908,"2012-09-20 06:58:31",mobile,0,gsearch,nonbrand,0,0,0.00
27767,25480,control,58915,"2012-09-20 07:09:28",desktop,0,gsearch,nonbrand,1,1,49.99
27770,17328,control,58926,"2012-09-20 07:33:01",desktop,1,gsearch,brand,0,0,0.00
27778,25488,treatment,58947,"2012-09-20 08:21:57",desktop,0,gsearch,brand,0,0,0.00
27782,25492,control,58960,"2012-09-20 08:35:53",desktop,0,bsearch,nonbrand,0,0,0.00
27788,25497,treatment,58977,"2012-09-20 08:52:47",desktop,0,gsearch,nonbrand,0,0,0.00
27790,18068,treatment,58985,"2012-09-20 09:02:05",desktop,1,NULL,NULL,0,0,0.00
27802,25509,control,59012,"2012-09-20 09:43:09",desktop,0,gsearch,nonbrand,0,0,0.00
27807,25513,treatment,59023,"2012-09-20 10:02:25",desktop,0,gsearch,nonbrand,1,1,49.99
27809,25515,treatment,59030,"2012-09-20 10:08:54",desktop,0,gsearch,nonbrand,1,1,49.99
27810,25516,treatment,59037,"2012-09-20 10:14:37",desktop,0,gsearch,nonbrand,1,1,49.99
27821,12079,treatment,59060,"2012-09-20 10:49:04",desktop,1,NULL,NULL,1,1,49.99
27827,25532,control,59088,"2012-09-20 11:11:35",desktop,0,bsearch,nonbrand,0,0,0.00
27842,25545,control,59125,"2012-09-20 12:03:31",desktop,0,gsearch,nonbrand,0,0,0.00
27888,25585,control,59213,"2012-09-20 13:57:48",desktop,0,gsearch,nonbrand,0,0,0.00
27896,25592,control,59228,"2012-09-20 14:09:20",desktop,0,gsearch,nonbrand,0,0,0.00
27904,25599,treatment,59245,"2012-09-20 14:38:36",mobile,0,gsearch,nonbrand,0,0,0.00
27906,25600,treatment,59252,"2012-09-20 14:47:41",desktop,0,gsearch,nonbrand,1,1,49.99
27923,25615,treatment,59297,"2012-09-20 15:34:27",desktop,0,gsearch,nonbrand,1,1,49.99
27930,25622,treatment,59307,"2012-09-20 15:44:50",desktop,0,gsearch,nonbrand,1,1,49.99
27938,25628,control,59325,"2012-09-20 16:04:28",mobile,0,gsearch,nonbrand,1,1,49.99
27940,25630,control,59336,"2012-09-20 16:14:20",desktop,0,gsearch,nonbrand,1,1,49.99
27954,25643,treatment,59372,"2012-09-20 16:59:40",desktop,0,bsearch,nonbrand,0,0,0.00
28003,25687,treatment,59445,"2012-09-20 19:11:16",desktop,0,gsearch,nonbrand,1,1,49.99
28024,25706,treatment,59486,"2012-09-20 21:57:18",mobile,0,NULL,NULL,1,1,49.99
28053,25732,treatment,59553,"2012-09-21 01:59:23",desktop,0,bsearch,brand,1,1,49.99
28063,25742,treatment,59578,"2012-09-21 05:00:21",desktop,0,gsearch,nonbrand,1,1,49.99
28069,25748,control,59591,"2012-09-21 06:16:03",desktop,0,bsearch,nonbrand,1,1,49.99
28084,25761,treatment,59625,"2012-09-21 08:23:43",desktop,0,bsearch,nonbrand,0,0,0.00
28096,25772,control,59651,"2012-09-21 09:17:36",desktop,0,gsearch,nonbrand,0,0,0.00
28121,25794,treatment,59702,"2012-09-21 10:27:22",mobile,0,bsearch,nonbrand,1,1,49.99
28123,25796,treatment,59703,"2012-09-21 10:27:54",desktop,0,bsearch,nonbrand,0,0,0.00
28130,25803,control,59718,"2012-09-21 10:45:42",desktop,0,bsearch,nonbrand,0,0,0.00
28146,25817,treatment,59753,"2012-09-21 11:45:05",desktop,0,gsearch,nonbrand,1,1,49.99
28158,25828,treatment,59780,"2012-09-21 12:18:14",desktop,0,gsearch,nonbrand,1,1,49.99
28157,25827,treatment,59782,"2012-09-21 12:19:00",desktop,0,gsearch,nonbrand,1,1,49.99
28182,25849,control,59840,"2012-09-21 13:50:58",desktop,0,gsearch,nonbrand,0,0,0.00
28190,25855,treatment,59862,"2012-09-21 14:12:44",desktop,0,bsearch,nonbrand,1,1,49.99
28218,25882,control,59919,"2012-09-21 15:28:36",desktop,0,bsearch,nonbrand,1,1,49.99
28234,25896,treatment,59952,"2012-09-21 16:05:28",desktop,0,gsearch,nonbrand,1,1,49.99
28272,18370,control,60013,"2012-09-21 19:01:34",desktop,1,gsearch,brand,0,0,0.00
28276,25935,treatment,60026,"2012-09-21 19:19:23",desktop,0,bsearch,nonbrand,1,1,49.99
28315,25966,treatment,60113,"2012-09-22 00:36:49",mobile,0,gsearch,nonbrand,0,0,0.00
28319,25970,treatment,60125,"2012-09-22 01:11:11",desktop,0,gsearch,nonbrand,1,1,49.99
28332,25981,treatment,60159,"2012-09-22 05:02:17",desktop,0,gsearch,nonbrand,0,0,0.00
28352,21698,treatment,60196,"2012-09-22 09:12:06",desktop,1,bsearch,brand,1,1,49.99
28354,25999,treatment,60204,"2012-09-22 09:28:50",desktop,0,bsearch,nonbrand,1,1,49.99
28357,20444,control,60213,"2012-09-22 09:48:17",desktop,1,NULL,NULL,1,1,49.99
28384,26025,treatment,60268,"2012-09-22 12:52:50",desktop,0,gsearch,nonbrand,0,0,0.00
28383,26024,treatment,60270,"2012-09-22 12:55:40",desktop,0,bsearch,nonbrand,1,1,49.99
28408,26047,treatment,60324,"2012-09-22 15:46:07",desktop,0,bsearch,nonbrand,0,0,0.00
28411,26049,control,60328,"2012-09-22 15:56:50",desktop,0,gsearch,nonbrand,0,0,0.00
28413,26051,treatment,60336,"2012-09-22 16:10:36",desktop,0,gsearch,nonbrand,1,1,49.99
28425,26062,control,60367,"2012-09-22 18:11:24",desktop,0,gsearch,nonbrand,1,1,49.99
28431,26067,control,60388,"2012-09-22 19:44:24",desktop,0,bsearch,nonbrand,1,1,49.99
28435,15920,treatment,60402,"2012-09-22 20:33:13",desktop,1,gsearch,brand,1,1,49.99
28438,26073,treatment,60410,"2012-09-22 20:55:20",desktop,0,gsearch,nonbrand,0,0,0.00
28452,26087,control,60441,"2012-09-22 23:41:30",desktop,0,gsearch,nonbrand,0,0,0.00
28487,25771,control,60508,"2012-09-23 07:58:14",desktop,1,NULL,NULL,1,1,49.99
28492,26125,treatment,60520,"2012-09-23 08:25:02",desktop,0,bsearch,nonbrand,0,0,0.00
28495,26128,control,60534,"2012-09-23 09:32:24",desktop,0,gsearch,nonbrand,1,1,49.99
28522,19719,treatment,60591,"2012-09-23 12:47:10",desktop,1,gsearch,brand,1,1,49.99
28523,26154,control,60602,"2012-09-23 13:22:14",desktop,0,gsearch,nonbrand,1,1,49.99
28543,26172,control,60638,"2012-09-23 15:32:12",desktop,0,gsearch,nonbrand,0,0,0.00
28558,26185,treatment,60671,"2012-09-23 17:56:22",desktop,0,gsearch,nonbrand,1,1,49.99
28572,26195,control,60698,"2012-09-23 19:43:48",desktop,0,gsearch,nonbrand,1,1,49.99
28586,26207,treatment,60739,"2012-09-23 21:30:03",desktop,0,gsearch,nonbrand,0,0,0.00
28605,26224,control,60774,"2012-09-23 23:47:08",desktop,0,gsearch,nonbrand,1,1,49.99
28607,20342,control,60784,"2012-09-24 00:03:21",desktop,1,NULL,NULL,0,0,0.00
28624,26242,control,60825,"2012-09-24 01:50:53",desktop,0,gsearch,nonbrand,0,0,0.00
